arm,group,model,method,0,8,16
real,acsincome,Llama-3.1-8B-Instruct,counter_spurious,,0.6088,0.638
real,acsincome,Llama-3.1-8B-Instruct,feature_range,,0.5964,0.6352
real,acsincome,Llama-3.1-8B-Instruct,label_diversity,,0.6664,0.6372
real,acsincome,Llama-3.1-8B-Instruct,random,,0.6432,0.6839999999999999
real,acsincome,Llama-3.1-8B-Instruct,rule_diversity,,0.6616,0.6968
real,acsincome,Llama-3.1-8B-Instruct,similarity,,0.61,0.654
real,acsincome,Llama-3.1-8B-Instruct,zero_shot,0.594,,
real,acsincome,Qwen2.5-7B-Instruct,counter_spurious,,0.7128,0.7232000000000001
real,acsincome,Qwen2.5-7B-Instruct,feature_range,,0.7276,0.6996
real,acsincome,Qwen2.5-7B-Instruct,label_diversity,,0.7112,0.7452
real,acsincome,Qwen2.5-7B-Instruct,random,,0.7156,0.7192000000000001
real,acsincome,Qwen2.5-7B-Instruct,rule_diversity,,0.7332,0.7323999999999999
real,acsincome,Qwen2.5-7B-Instruct,similarity,,0.694,0.692
real,acsincome,Qwen2.5-7B-Instruct,zero_shot,0.7,,
real,acspubcov,Llama-3.1-8B-Instruct,counter_spurious,,0.5176000000000001,0.5312
real,acspubcov,Llama-3.1-8B-Instruct,feature_range,,0.5496,0.5900000000000001
real,acspubcov,Llama-3.1-8B-Instruct,label_diversity,,0.48360000000000003,0.462
real,acspubcov,Llama-3.1-8B-Instruct,random,,0.5756,0.5964
real,acspubcov,Llama-3.1-8B-Instruct,rule_diversity,,0.5512,0.5724
real,acspubcov,Llama-3.1-8B-Instruct,similarity,,0.538,0.572
real,acspubcov,Llama-3.1-8B-Instruct,zero_shot,0.402,,
real,acspubcov,Qwen2.5-7B-Instruct,counter_spurious,,0.48919999999999997,0.43079999999999996
real,acspubcov,Qwen2.5-7B-Instruct,feature_range,,0.5264,0.4468
real,acspubcov,Qwen2.5-7B-Instruct,label_diversity,,0.42679999999999996,0.4524
real,acspubcov,Qwen2.5-7B-Instruct,random,,0.48599999999999993,0.4728
real,acspubcov,Qwen2.5-7B-Instruct,rule_diversity,,0.5024,0.4852
real,acspubcov,Qwen2.5-7B-Instruct,similarity,,0.548,0.514
real,acspubcov,Qwen2.5-7B-Instruct,zero_shot,0.604,,
real,anes,Llama-3.1-8B-Instruct,counter_spurious,,0.6776,0.6724
real,anes,Llama-3.1-8B-Instruct,feature_range,,0.7016,0.7172
real,anes,Llama-3.1-8B-Instruct,label_diversity,,0.654,0.6544
real,anes,Llama-3.1-8B-Instruct,random,,0.7243999999999999,0.7256
real,anes,Llama-3.1-8B-Instruct,rule_diversity,,0.71,0.7152000000000001
real,anes,Llama-3.1-8B-Instruct,similarity,,0.608,0.682
real,anes,Llama-3.1-8B-Instruct,zero_shot,0.364,,
real,anes,Qwen2.5-7B-Instruct,counter_spurious,,0.6864,0.6376
real,anes,Qwen2.5-7B-Instruct,feature_range,,0.6916,0.708
real,anes,Qwen2.5-7B-Instruct,label_diversity,,0.6984,0.6616
real,anes,Qwen2.5-7B-Instruct,random,,0.6891999999999999,0.6404
real,anes,Qwen2.5-7B-Instruct,rule_diversity,,0.6912,0.666
real,anes,Qwen2.5-7B-Instruct,similarity,,0.618,0.648
real,anes,Qwen2.5-7B-Instruct,zero_shot,0.57,,
real,brfss_diabetes,Llama-3.1-8B-Instruct,counter_spurious,,0.3384,0.4544
real,brfss_diabetes,Llama-3.1-8B-Instruct,feature_range,,0.656,0.6768
real,brfss_diabetes,Llama-3.1-8B-Instruct,label_diversity,,0.7148,0.6928
real,brfss_diabetes,Llama-3.1-8B-Instruct,random,,0.5952,0.5604
real,brfss_diabetes,Llama-3.1-8B-Instruct,rule_diversity,,0.44079999999999997,0.5640000000000001
real,brfss_diabetes,Llama-3.1-8B-Instruct,similarity,,0.476,0.548
real,brfss_diabetes,Llama-3.1-8B-Instruct,zero_shot,0.372,,
real,brfss_diabetes,Qwen2.5-7B-Instruct,counter_spurious,,0.708,0.7356
real,brfss_diabetes,Qwen2.5-7B-Instruct,feature_range,,0.7888,0.7816
real,brfss_diabetes,Qwen2.5-7B-Instruct,label_diversity,,0.7288,0.7296
real,brfss_diabetes,Qwen2.5-7B-Instruct,random,,0.6504,0.7243999999999999
real,brfss_diabetes,Qwen2.5-7B-Instruct,rule_diversity,,0.6312,0.7292
real,brfss_diabetes,Qwen2.5-7B-Instruct,similarity,,0.738,0.732
real,brfss_diabetes,Qwen2.5-7B-Instruct,zero_shot,0.78,,
synthetic,covariate,Llama-3.1-8B-Instruct,best_protocol_sata,,0.26625,0.53265625
synthetic,covariate,Llama-3.1-8B-Instruct,counter_spurious,,0.3634375,0.49546875
synthetic,covariate,Llama-3.1-8B-Instruct,feature_range,,0.37203125,0.46015625
synthetic,covariate,Llama-3.1-8B-Instruct,label_diversity,,0.4884375,0.608125
synthetic,covariate,Llama-3.1-8B-Instruct,random,,0.38515625,0.4865625
synthetic,covariate,Llama-3.1-8B-Instruct,rule_diversity,,0.41015625,0.4890625
synthetic,covariate,Llama-3.1-8B-Instruct,sata_alone,,0.24640625,0.53265625
synthetic,covariate,Llama-3.1-8B-Instruct,sata_query_agnostic,,0.33328125,0.463125
synthetic,covariate,Llama-3.1-8B-Instruct,similarity,,0.3453125,0.46328125
synthetic,covariate,Llama-3.1-8B-Instruct,zero_shot,0.38796875,,
synthetic,covariate,Qwen2.5-7B-Instruct,best_protocol_sata,,0.2959375,0.41984375
synthetic,covariate,Qwen2.5-7B-Instruct,counter_spurious,,0.454375,0.58296875
synthetic,covariate,Qwen2.5-7B-Instruct,feature_range,,0.4309375,0.53453125
synthetic,covariate,Qwen2.5-7B-Instruct,label_diversity,,0.6184375,0.691875
synthetic,covariate,Qwen2.5-7B-Instruct,random,,0.49515625,0.65796875
synthetic,covariate,Qwen2.5-7B-Instruct,rule_diversity,,0.57921875,0.61390625
synthetic,covariate,Qwen2.5-7B-Instruct,sata_alone,,0.29359375,0.41984375
synthetic,covariate,Qwen2.5-7B-Instruct,sata_query_agnostic,,0.439375,0.45328125
synthetic,covariate,Qwen2.5-7B-Instruct,similarity,,0.479375,0.57375
synthetic,covariate,Qwen2.5-7B-Instruct,zero_shot,0.39,,
synthetic,extrapolation,Llama-3.1-8B-Instruct,best_protocol_sata,,0.30015625,0.58015625
synthetic,extrapolation,Llama-3.1-8B-Instruct,counter_spurious,,0.50703125,0.511875
