scale,dataset,mechanism,corruption,delta,seeds_pos,p,identical,p_holm,sig_holm,loss,zero_shot,delta_vs_zero_shot,auroc,primary_test_sig
70B,acsincome,feature_coverage,0.0,0.0061,5,0.1094,False,1.0,False,0.014,0.84,0.0052,0.8452,
70B,acsincome,feature_coverage,1.0,0.0048,4,0.4609,False,1.0,False,0.014,0.84,0.0052,0.8312,
70B,acsincome,importance_weighted,0.0,-0.0032,3,0.4609,False,1.0,False,0.0094,0.84,-0.0041,0.8359,
70B,acsincome,importance_weighted,1.0,0.0,4,0.8438,False,1.0,False,0.0094,0.84,-0.0041,0.8264,
70B,acsincome,similarity,0.0,-0.0181,3,0.1094,False,1.0,False,0.0353,0.84,-0.019,0.821,
70B,acsincome,similarity,1.0,-0.0407,0,0.0078,False,0.2578,False,0.0353,0.84,-0.019,0.7857,True
70B,anes,feature_coverage,0.0,-0.0186,4,0.4609,False,1.0,False,0.1171,0.7432,-0.0271,0.7161,
70B,anes,feature_coverage,1.0,-0.0121,4,0.6406,False,1.0,False,0.1171,0.7432,-0.0271,0.599,
70B,anes,importance_weighted,0.0,0.0,0,1.0,True,,,0.1237,0.7432,-0.0085,0.7347,
70B,anes,importance_weighted,1.0,0.0,0,1.0,True,,,0.1237,0.7432,-0.0085,0.6111,
70B,anes,similarity,0.0,-0.0679,0,0.0078,False,0.2578,False,0.1906,0.7432,-0.0764,0.6668,
70B,anes,similarity,1.0,-0.1348,0,0.0078,False,0.2578,False,0.1906,0.7432,-0.0764,0.4762,True
70B,brfss_diabetes,feature_coverage,0.0,0.0059,4,0.8438,False,1.0,False,0.0414,0.7199,0.0639,0.7839,
70B,brfss_diabetes,feature_coverage,1.0,0.0207,5,0.3828,False,1.0,False,0.0414,0.7199,0.0639,0.7425,
70B,brfss_diabetes,importance_weighted,0.0,-0.01,2,0.3125,False,1.0,False,0.0238,0.7199,0.048,0.7679,
70B,brfss_diabetes,importance_weighted,1.0,0.0222,5,0.3125,False,1.0,False,0.0238,0.7199,0.048,0.744,
70B,brfss_diabetes,similarity,0.0,-0.0223,2,0.1094,False,1.0,False,0.0826,0.7199,0.0357,0.7556,
70B,brfss_diabetes,similarity,1.0,-0.0488,1,0.0156,False,0.4531,False,0.0826,0.7199,0.0357,0.673,True
8B,acsincome,feature_coverage,0.0,0.0249,4,0.3125,False,1.0,False,0.0246,0.7076,-0.0056,0.702,
8B,acsincome,feature_coverage,1.0,0.0108,4,0.6406,False,1.0,False,0.0246,0.7076,-0.0056,0.6774,
8B,acsincome,importance_weighted,0.0,0.0084,4,0.6406,False,1.0,False,0.0449,0.7076,-0.0221,0.6855,
8B,acsincome,importance_weighted,1.0,-0.026,3,0.1953,False,1.0,False,0.0449,0.7076,-0.0221,0.6406,
8B,acsincome,similarity,0.0,0.0407,7,0.0234,False,0.6328,False,0.0179,0.7076,0.0102,0.7178,
8B,acsincome,similarity,1.0,0.0333,7,0.0234,False,0.6328,False,0.0179,0.7076,0.0102,0.6999,True
8B,anes,feature_coverage,0.0,-0.0211,2,0.3125,False,1.0,False,0.1645,0.7158,-0.0473,0.6686,
8B,anes,feature_coverage,1.0,0.0064,6,0.3125,False,1.0,False,0.1645,0.7158,-0.0473,0.504,
8B,anes,importance_weighted,0.0,-0.0,0,1.0,False,1.0,False,0.192,0.7158,-0.0261,0.6897,
8B,anes,importance_weighted,1.0,0.0,0,1.0,True,,,0.192,0.7158,-0.0261,0.4977,
8B,anes,similarity,0.0,-0.0709,2,0.0391,False,0.9766,False,0.028,0.7158,-0.097,0.6188,
8B,anes,similarity,1.0,0.0931,7,0.0156,False,0.4531,False,0.028,0.7158,-0.097,0.5908,True
8B,brfss_diabetes,feature_coverage,0.0,0.044,6,0.0547,False,1.0,False,0.0425,0.6753,-0.0233,0.652,
8B,brfss_diabetes,feature_coverage,1.0,-0.002,4,0.7422,False,1.0,False,0.0425,0.6753,-0.0233,0.6095,
8B,brfss_diabetes,importance_weighted,0.0,0.0021,3,0.9453,False,1.0,False,0.006,0.6753,-0.0652,0.6101,
8B,brfss_diabetes,importance_weighted,1.0,-0.0075,3,0.8438,False,1.0,False,0.006,0.6753,-0.0652,0.6041,
8B,brfss_diabetes,similarity,0.0,0.1078,6,0.0391,False,0.9766,False,-0.0147,0.6753,0.0405,0.7158,
8B,brfss_diabetes,similarity,1.0,0.1189,8,0.0078,False,0.2578,False,-0.0147,0.6753,0.0405,0.7305,True
