dataset,mechanism,composition,balanced_accuracy,random_k_baseline,delta_vs_random_k,degraded
acsincome,similarity,free,0.7007,0.5520774037056808,0.1486,False
acsincome,importance_weighted,balanced,0.668,0.5520774037056808,0.1159,False
acsincome,similarity,balanced,0.637,0.5520774037056808,0.0849,False
acsincome,feature_coverage,balanced,0.6229,0.5520774037056808,0.0708,False
acsincome,shift_axis_coverage,balanced,0.61,0.5520774037056808,0.0579,False
acsincome,feature_coverage,target_prior,0.6038,0.5520774037056808,0.0517,False
acsincome,rule_coverage,balanced,0.5994,0.5520774037056808,0.0473,False
acsincome,importance_weighted,free,0.5982,0.5520774037056808,0.0461,False
acsincome,random,target_prior,0.5941,0.5520774037056808,0.042,False
acsincome,rule_coverage,target_prior,0.5938,0.5520774037056808,0.0417,False
acsincome,importance_weighted,target_prior,0.5874,0.5520774037056808,0.0353,False
acsincome,similarity,target_prior,0.5872,0.5520774037056808,0.0351,False
acsincome,random,balanced,0.5865,0.5520774037056808,0.0344,False
acsincome,shift_axis_coverage,target_prior,0.5663,0.5520774037056808,0.0142,False
acsincome,shift_axis_coverage,free,0.5603,0.5520774037056808,0.0082,False
acsincome,random,free,0.5521,0.5520774037056808,0.0,False
acsincome,rule_coverage,free,0.5436,0.5520774037056808,-0.0085,False
acsincome,feature_coverage,free,0.5226,0.5520774037056808,-0.0295,False
acsincome,counter_spurious,balanced,0.409,0.5520774037056808,-0.1431,False
acsincome,counter_spurious,target_prior,0.4059,0.5520774037056808,-0.1462,False
acspubcov,similarity,balanced,0.5433,0.5032884368438267,0.04,False
acspubcov,similarity,free,0.5233,0.5032884368438267,0.02,False
acspubcov,similarity,target_prior,0.5228,0.5032884368438267,0.0195,False
acspubcov,feature_coverage,balanced,0.5159,0.5032884368438267,0.0126,False
acspubcov,importance_weighted,free,0.513,0.5032884368438267,0.0097,False
acspubcov,rule_coverage,target_prior,0.5054,0.5032884368438267,0.0021,False
acspubcov,random,free,0.5033,0.5032884368438267,0.0,False
acspubcov,shift_axis_coverage,target_prior,0.5033,0.5032884368438267,0.0,False
acspubcov,rule_coverage,free,0.5018,0.5032884368438267,-0.0015,False
acspubcov,feature_coverage,free,0.5017,0.5032884368438267,-0.0016,False
acspubcov,rule_coverage,balanced,0.4966,0.5032884368438267,-0.0067,False
acspubcov,feature_coverage,target_prior,0.4958,0.5032884368438267,-0.0075,False
acspubcov,importance_weighted,balanced,0.4951,0.5032884368438267,-0.0082,False
acspubcov,random,balanced,0.4941,0.5032884368438267,-0.0092,False
acspubcov,shift_axis_coverage,free,0.4923,0.5032884368438267,-0.011,False
acspubcov,importance_weighted,target_prior,0.4899,0.5032884368438267,-0.0134,False
acspubcov,random,target_prior,0.4898,0.5032884368438267,-0.0135,False
acspubcov,shift_axis_coverage,balanced,0.4892,0.5032884368438267,-0.0141,False
acspubcov,counter_spurious,balanced,0.4568,0.5032884368438267,-0.0465,False
acspubcov,counter_spurious,target_prior,0.4325,0.5032884368438267,-0.0708,False
anes,similarity,free,0.6629,0.5139771798136918,0.1489,False
anes,similarity,balanced,0.6261,0.5139771798136918,0.1121,False
anes,similarity,target_prior,0.5992,0.5139771798136918,0.0852,False
anes,rule_coverage,free,0.5798,0.5139771798136918,0.0658,False
anes,importance_weighted,balanced,0.5538,0.5139771798136918,0.0398,True
anes,random,balanced,0.5538,0.5139771798136918,0.0398,False
anes,shift_axis_coverage,balanced,0.5538,0.5139771798136918,0.0398,True
anes,importance_weighted,target_prior,0.5463,0.5139771798136918,0.0323,True
anes,random,target_prior,0.5463,0.5139771798136918,0.0323,False
anes,shift_axis_coverage,target_prior,0.5463,0.5139771798136918,0.0323,True
anes,feature_coverage,target_prior,0.5339,0.5139771798136918,0.0199,False
anes,feature_coverage,balanced,0.5335,0.5139771798136918,0.0195,False
anes,rule_coverage,balanced,0.5305,0.5139771798136918,0.0165,False
anes,importance_weighted,free,0.514,0.5139771798136918,0.0,True
anes,random,free,0.514,0.5139771798136918,0.0,False
anes,shift_axis_coverage,free,0.514,0.5139771798136918,0.0,True
anes,feature_coverage,free,0.5088,0.5139771798136918,-0.0052,False
anes,counter_spurious,target_prior,0.5043,0.5139771798136918,-0.0097,False
anes,rule_coverage,target_prior,0.5008,0.5139771798136918,-0.0132,False
anes,counter_spurious,balanced,0.4862,0.5139771798136918,-0.0278,False
brfss_diabetes,feature_coverage,balanced,0.6827,0.5045250129463806,0.1782,False
brfss_diabetes,shift_axis_coverage,balanced,0.5984,0.5045250129463806,0.0939,False
brfss_diabetes,random,balanced,0.5977,0.5045250129463806,0.0932,False
brfss_diabetes,feature_coverage,target_prior,0.5888,0.5045250129463806,0.0843,False
brfss_diabetes,importance_weighted,balanced,0.5773,0.5045250129463806,0.0728,False
brfss_diabetes,similarity,balanced,0.567,0.5045250129463806,0.0625,False
brfss_diabetes,random,target_prior,0.5616,0.5045250129463806,0.0571,False
brfss_diabetes,rule_coverage,free,0.5564,0.5045250129463806,0.0519,False
brfss_diabetes,similarity,free,0.5451,0.5045250129463806,0.0406,False
brfss_diabetes,importance_weighted,target_prior,0.534,0.5045250129463806,0.0295,False
brfss_diabetes,shift_axis_coverage,target_prior,0.5313,0.5045250129463806,0.0268,False
brfss_diabetes,shift_axis_coverage,free,0.5195,0.5045250129463806,0.015,False
brfss_diabetes,similarity,target_prior,0.5184,0.5045250129463806,0.0139,False
brfss_diabetes,feature_coverage,free,0.518,0.5045250129463806,0.0135,False
brfss_diabetes,importance_weighted,free,0.5062,0.5045250129463806,0.0017,False
brfss_diabetes,rule_coverage,target_prior,0.5053,0.5045250129463806,0.0008,False
brfss_diabetes,random,free,0.5045,0.5045250129463806,-0.0,False
brfss_diabetes,rule_coverage,balanced,0.4801,0.5045250129463806,-0.0244,False
brfss_diabetes,counter_spurious,balanced,0.4259,0.5045250129463806,-0.0786,False
brfss_diabetes,counter_spurious,target_prior,0.4147,0.5045250129463806,-0.0898,False
