dataset,mechanism,composition,surrogate,balanced_accuracy,accuracy,auroc,demo_pos_frac,demo_target_likeness,demo_leaf_coverage,demo_query_dist,degraded,n_seeds
acsincome,counter_spurious,balanced,logreg,0.409,0.3656,0.3133,0.5,0.2012,3.2,0.5185,False,5
acsincome,counter_spurious,balanced,nn1,0.5504,0.5232,0.5897,0.5,0.2012,3.2,0.5185,False,5
acsincome,counter_spurious,balanced,prior_only,0.4896,0.4832,0.5,0.5,0.2012,3.2,0.5185,False,5
acsincome,counter_spurious,target_prior,logreg,0.4059,0.3928,0.3663,0.375,0.2128,3.4,0.5245,False,5
acsincome,counter_spurious,target_prior,nn1,0.5447,0.5384,0.5702,0.375,0.2128,3.4,0.5245,False,5
acsincome,counter_spurious,target_prior,prior_only,0.4891,0.512,0.5,0.375,0.2128,3.4,0.5245,False,5
acsincome,feature_coverage,balanced,logreg,0.6229,0.6056,0.6597,0.5,0.2502,4.2,0.5168,False,5
acsincome,feature_coverage,balanced,nn1,0.5918,0.5832,0.7014,0.5,0.2502,4.2,0.5168,False,5
acsincome,feature_coverage,balanced,prior_only,0.4896,0.4832,0.5,0.5,0.2502,4.2,0.5168,False,5
acsincome,feature_coverage,free,logreg,0.5226,0.6008,0.5797,0.2,0.2442,4.6,0.5389,False,5
acsincome,feature_coverage,free,nn1,0.5615,0.608,0.6224,0.2,0.2442,4.6,0.5389,False,5
acsincome,feature_coverage,free,prior_only,0.51,0.5736,0.5,0.2,0.2442,4.6,0.5389,False,5
acsincome,feature_coverage,target_prior,logreg,0.6038,0.6272,0.6781,0.375,0.2355,4.2,0.5214,False,5
acsincome,feature_coverage,target_prior,nn1,0.5808,0.5992,0.6732,0.375,0.2355,4.2,0.5214,False,5
acsincome,feature_coverage,target_prior,prior_only,0.4891,0.512,0.5,0.375,0.2355,4.2,0.5214,False,5
acsincome,importance_weighted,balanced,logreg,0.668,0.668,0.7136,0.5,0.5478,5.0,0.5167,False,5
acsincome,importance_weighted,balanced,nn1,0.5979,0.588,0.7179,0.5,0.5478,5.0,0.5167,False,5
acsincome,importance_weighted,balanced,prior_only,0.4896,0.4832,0.5,0.5,0.5478,5.0,0.5167,False,5
acsincome,importance_weighted,free,logreg,0.5982,0.5952,0.6555,0.425,0.5625,4.8,0.5163,False,5
acsincome,importance_weighted,free,nn1,0.5943,0.592,0.6825,0.425,0.5625,4.8,0.5163,False,5
acsincome,importance_weighted,free,prior_only,0.4917,0.5032,0.5,0.425,0.5625,4.8,0.5163,False,5
acsincome,importance_weighted,target_prior,logreg,0.5874,0.6304,0.6716,0.375,0.5321,4.8,0.5158,False,5
acsincome,importance_weighted,target_prior,nn1,0.5743,0.5864,0.6746,0.375,0.5321,4.8,0.5158,False,5
acsincome,importance_weighted,target_prior,prior_only,0.4891,0.512,0.5,0.375,0.5321,4.8,0.5158,False,5
acsincome,random,balanced,logreg,0.5865,0.5848,0.6347,0.5,0.2776,4.6,0.5286,False,5
acsincome,random,balanced,nn1,0.5625,0.552,0.6867,0.5,0.2776,4.6,0.5286,False,5
acsincome,random,balanced,prior_only,0.4896,0.4832,0.5,0.5,0.2776,4.6,0.5286,False,5
acsincome,random,free,logreg,0.5521,0.6288,0.6153,0.125,0.1952,4.0,0.5448,False,5
acsincome,random,free,nn1,0.5515,0.6168,0.598,0.125,0.1952,4.0,0.5448,False,5
acsincome,random,free,prior_only,0.5031,0.5832,0.5,0.125,0.1952,4.0,0.5448,False,5
acsincome,random,target_prior,logreg,0.5941,0.632,0.6844,0.375,0.2662,4.4,0.5293,False,5
acsincome,random,target_prior,nn1,0.5818,0.5968,0.7044,0.375,0.2662,4.4,0.5293,False,5
acsincome,random,target_prior,prior_only,0.4891,0.512,0.5,0.375,0.2662,4.4,0.5293,False,5
acsincome,rule_coverage,balanced,logreg,0.5994,0.588,0.6383,0.5,0.2742,6.2,0.5361,False,5
acsincome,rule_coverage,balanced,nn1,0.6211,0.6,0.7172,0.5,0.2742,6.2,0.5361,False,5
acsincome,rule_coverage,balanced,prior_only,0.4896,0.4832,0.5,0.5,0.2742,6.2,0.5361,False,5
acsincome,rule_coverage,free,logreg,0.5436,0.632,0.7273,0.225,0.234,8.0,0.544,False,5
acsincome,rule_coverage,free,nn1,0.6284,0.6592,0.7256,0.225,0.234,8.0,0.544,False,5
acsincome,rule_coverage,free,prior_only,0.4993,0.5576,0.5,0.225,0.234,8.0,0.544,False,5
acsincome,rule_coverage,target_prior,logreg,0.5938,0.6368,0.6744,0.375,0.241,6.4,0.537,False,5
acsincome,rule_coverage,target_prior,nn1,0.5703,0.5944,0.7314,0.375,0.241,6.4,0.537,False,5
acsincome,rule_coverage,target_prior,prior_only,0.4891,0.512,0.5,0.375,0.241,6.4,0.537,False,5
acsincome,shift_axis_coverage,balanced,logreg,0.61,0.6056,0.664,0.5,0.2435,4.8,0.5219,False,5
acsincome,shift_axis_coverage,balanced,nn1,0.5649,0.544,0.6663,0.5,0.2435,4.8,0.5219,False,5
acsincome,shift_axis_coverage,balanced,prior_only,0.4896,0.4832,0.5,0.5,0.2435,4.8,0.5219,False,5
acsincome,shift_axis_coverage,free,logreg,0.5603,0.5888,0.5819,0.4,0.2336,4.2,0.5272,False,5
acsincome,shift_axis_coverage,free,nn1,0.551,0.5584,0.6292,0.4,0.2336,4.2,0.5272,False,5
acsincome,shift_axis_coverage,free,prior_only,0.4923,0.5144,0.5,0.4,0.2336,4.2,0.5272,False,5
acsincome,shift_axis_coverage,target_prior,logreg,0.5663,0.616,0.6539,0.375,0.2555,5.0,0.518,False,5
acsincome,shift_axis_coverage,target_prior,nn1,0.5824,0.592,0.6699,0.375,0.2555,5.0,0.518,False,5
acsincome,shift_axis_coverage,target_prior,prior_only,0.4891,0.512,0.5,0.375,0.2555,5.0,0.518,False,5
acsincome,similarity,balanced,logreg,0.637,0.66,0.7069,0.5,0.2477,3.288,0.3,False,5
acsincome,similarity,balanced,nn1,0.6677,0.684,0.7738,0.5,0.2477,3.288,0.3,False,5
acsincome,similarity,balanced,prior_only,0.502,0.5064,0.5,0.5,0.2477,3.288,0.3,False,5
acsincome,similarity,free,logreg,0.7007,0.72,0.7859,0.398,0.2449,3.196,0.2888,False,5
acsincome,similarity,free,nn1,0.6704,0.6856,0.7996,0.398,0.2449,3.196,0.2888,False,5
acsincome,similarity,free,prior_only,0.6427,0.66,0.7934,0.398,0.2449,3.196,0.2888,False,5
acsincome,similarity,target_prior,logreg,0.5872,0.6488,0.7026,0.375,0.2406,3.318,0.298,False,5
acsincome,similarity,target_prior,nn1,0.6677,0.684,0.7813,0.375,0.2406,3.318,0.298,False,5
acsincome,similarity,target_prior,prior_only,0.5068,0.54,0.5,0.375,0.2406,3.318,0.298,False,5
acspubcov,counter_spurious,balanced,logreg,0.4568,0.4352,0.4422,0.5,0.3956,5.6,0.5616,False,5
acspubcov,counter_spurious,balanced,nn1,0.4591,0.4488,0.4295,0.5,0.3956,5.6,0.5616,False,5
acspubcov,counter_spurious,balanced,prior_only,0.4888,0.4992,0.5,0.5,0.3956,5.6,0.5616,False,5
acspubcov,counter_spurious,target_prior,logreg,0.4325,0.3376,0.4496,0.25,0.4087,4.4,0.5556,False,5
acspubcov,counter_spurious,target_prior,nn1,0.4596,0.3856,0.4509,0.25,0.4087,4.4,0.5556,False,5
acspubcov,counter_spurious,target_prior,prior_only,0.4925,0.4304,0.5,0.25,0.4087,4.4,0.5556,False,5
acspubcov,feature_coverage,balanced,logreg,0.5159,0.5184,0.529,0.5,0.393,4.6,0.545,False,5
acspubcov,feature_coverage,balanced,nn1,0.544,0.5584,0.5647,0.5,0.393,4.6,0.545,False,5
acspubcov,feature_coverage,balanced,prior_only,0.4888,0.4992,0.5,0.5,0.393,4.6,0.545,False,5
acspubcov,feature_coverage,free,logreg,0.5017,0.3704,0.4811,0.1,0.3739,5.2,0.555,False,5
acspubcov,feature_coverage,free,nn1,0.5164,0.4056,0.5069,0.1,0.3739,5.2,0.555,False,5
