method_a,method_b,statistic,pval,pval_holm,significant
best_protocol_sata,counter_spurious,1004.5,5.467924611476992e-27,2.132490598476027e-25,True
best_protocol_sata,feature_range,1250.5,6.436860174566256e-26,2.4460068663351775e-24,True
best_protocol_sata,label_diversity,430.0,3.1650795891376756e-30,1.3926350192205772e-28,True
best_protocol_sata,random,952.5,1.6999309426977487e-27,6.799723770790995e-26,True
best_protocol_sata,rule_diversity,897.5,1.3650468623076422e-28,5.596692135461333e-27,True
best_protocol_sata,sata_alone,1804.5,9.751215561446245e-22,3.120388979662798e-20,True
best_protocol_sata,sata_query_agnostic,796.5,7.952947963805763e-29,3.34023814479842e-27,True
best_protocol_sata,similarity,2995.0,1.5091900703957436e-16,4.678489218226805e-15,True
best_protocol_sata,zero_shot,3725.5,2.409895428323234e-13,6.747707199305055e-12,True
counter_spurious,feature_range,7503.0,0.29752558265492224,1.0,False
counter_spurious,label_diversity,3479.0,4.1878748647521126e-13,1.1307262134830704e-11,True
counter_spurious,random,6651.5,0.055434412160926747,0.3570057782903037,False
counter_spurious,rule_diversity,5942.5,0.00036624236902416335,0.004761150797314123,True
counter_spurious,sata_alone,7036.5,0.0019601850614972493,0.019601850614972494,True
counter_spurious,sata_query_agnostic,5653.5,0.00011032197189506698,0.0016548295784260046,True
counter_spurious,similarity,4570.5,1.942547369827244e-08,4.273604213619937e-07,True
counter_spurious,zero_shot,1050.5,8.417037721406713e-24,2.7776224480642155e-22,True
feature_range,label_diversity,3833.0,9.309276151125874e-11,2.3273190377814686e-09,True
feature_range,random,8156.0,0.46177402890879093,1.0,False
feature_range,rule_diversity,6727.5,0.01810855137346128,0.16297696236115153,False
feature_range,sata_alone,6943.0,0.0006447897566522017,0.007737477079826421,True
feature_range,sata_query_agnostic,7228.5,0.019920040580241348,0.16297696236115153,False
feature_range,similarity,4301.5,1.345035796924394e-09,3.093582332926106e-08,True
feature_range,zero_shot,1457.5,6.017452825581745e-24,2.1061084889536107e-22,True
label_diversity,random,4381.5,1.8279590076025874e-07,3.655918015205175e-06,True
label_diversity,rule_diversity,4637.5,7.881244089838349e-07,1.4974363770692862e-05,True
label_diversity,sata_alone,3329.5,4.597450235576786e-13,1.1953370612499645e-11,True
label_diversity,sata_query_agnostic,6042.5,9.232182564425399e-05,0.0014771492103080638,True
label_diversity,similarity,1291.5,2.6206640968571266e-25,9.434390748685655e-24,True
label_diversity,zero_shot,398.0,1.5327634151113793e-31,6.897435368001207e-30,True
random,rule_diversity,6867.0,0.13818357118404523,0.6909178559202261,False
random,sata_alone,5755.0,2.7731405015534924e-05,0.0004714338852640937,True
random,sata_query_agnostic,6782.5,0.051000825470043386,0.3570057782903037,False
random,similarity,4077.5,3.229209097078303e-10,7.750101832987927e-09,True
random,zero_shot,881.5,7.183477836291919e-26,2.65788679942801e-24,True
rule_diversity,sata_alone,5356.0,9.48316270563285e-07,1.706969287013913e-05,True
rule_diversity,sata_query_agnostic,8376.0,0.7553962410704282,1.0,False
rule_diversity,similarity,3038.0,3.689961087544004e-14,1.0700887153877612e-12,True
rule_diversity,zero_shot,423.0,8.577312875285137e-30,3.688244536372609e-28,True
sata_alone,sata_query_agnostic,4790.0,2.579559336744374e-08,5.417074607163185e-07,True
sata_alone,similarity,8274.0,0.29246666799515375,1.0,False
sata_alone,zero_shot,6499.5,0.0003330503395095703,0.004662704753133984,True
sata_query_agnostic,similarity,3146.5,5.425002044946508e-15,1.6275006134839525e-13,True
sata_query_agnostic,zero_shot,1540.0,7.10793230634609e-24,2.4166969841576707e-22,True
similarity,zero_shot,6389.5,0.0008303374027453749,0.009133711430199124,True
